序号,名称,1_max,2_max,1_avg,2_avg,瓶颈距离,一维持续性景观的L1范数,一维持续性景观的L2范数 ,持续熵,,,,,,,,,,,,,,,,,
46,宁波银行002142.SZ,0.204787726,0.186053666,0.117402198,0.120104783,0.102393863,0.780397778,0.250318255,1.832760111,,,,,,,,,,,,,,,,,
47,中航光电002179.SZ,2.504472893,0,1.19858777,0,1.252236446,11.31438732,3.494535864,1.157487437,,,,,,,,,,,,,,,,,
48,纳思达002180.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
49,金风科技002202.SZ,4.880953565,0.472491688,2.870101703,0.472491688,2.440476782,19.36787858,6.441209231,1.137558845,,,,,,,,,,,,,,,,,
50,科大讯飞002230.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
51,大华股份002236.SZ,0.398644339,0,0.158538165,0,0.19932217,1.779672756,0.554339289,0.909691139,,,,,,,,,,,,,,,,,
52,歌尔股份002241.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
53,上海莱士002252.SZ,0.209059918,0,0.091099215,0,0.104529959,1.275738312,0.338840554,1.392344002,,,,,,,,,,,,,,,,,
54,东方雨虹002271.SZ,1.494483169,0,0.468309903,0,0.747241584,7.106228374,2.124784768,1.119497724,,,,,,,,,,,,,,,,,
55,洋河股份002304.SZ,4.171844974,0,2.190521907,0,2.085922487,20.42735565,6.011491472,0.774971267,,,,,,,,,,,,,,,,,
56,海大集团002311.SZ,3.47672944,0.20298358,1.452827434,0.158286366,1.73836472,9.670713626,3.833207167,1.440315552,,,,,,,,,,,,,,,,,
57,顺丰控股002352.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
58,北方华创002371.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
59,广联达002410.SZ,0.648497013,0.006281183,0.384701458,0.006281183,0.324248506,1.577842609,0.624715967,1.296403652,,,,,,,,,,,,,,,,,
60,高德红外002414.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
61,海康威视002415.SZ,0.381138486,0.067906572,0.203899299,0.040366479,0.190569243,0.999155882,0.418518722,0.722231821,,,,,,,,,,,,,,,,,
62,晶澳科技002459.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
63,赣锋锂业002460.SZ,1.394778153,0.153479881,0.485654525,0.120201725,0.697389077,4.67118913,1.697046449,1.33071103,,,,,,,,,,,,,,,,,
64,天齐锂业002466.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
65,立讯精密002475.SZ,0.58067528,0.024678852,0.124133788,0.018737895,0.29033764,2.359771598,0.787355687,1.760347736,,,,,,,,,,,,,,,,,
66,荣盛石化002493.SZ,0.053591686,0,0.053591686,0,0.026795843,0.206700245,0.072263015,0,,,,,,,,,,,,,,,,,
67,三七互娱002555.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
68,比亚迪002594.SZ,2.823012348,0.222297328,1.019960541,0.222297328,1.411506174,8.4898057,3.231207304,0.975484433,,,,,,,,,,,,,,,,,
69,领益智造002600.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
70,龙佰集团002601.SZ,0.461292456,0.056615025,0.183967158,0.050250904,0.230646228,1.070243067,0.467988863,1.32883366,,,,,,,,,,,,,,,,,
71,世纪华通002602.SZ,0.474933539,0.004811018,0.323835134,0.004811018,0.23746677,3.02277355,0.810174687,0.902343492,,,,,,,,,,,,,,,,,
72,卫星化学002648.SZ,0.252780174,0.190396805,0.137487844,0.190396805,0.126390087,1.532028078,0.407920201,0.842290817,,,,,,,,,,,,,,,,,
73,天赐材料002709.SZ,4.129520652,0,2.157561399,0,2.064760326,15.92733849,5.568244512,0.177401118,,,,,,,,,,,,,,,,,
74,牧原股份002714.SZ,0.275155065,0,0.275155065,0,0.137577533,1.061258251,0.371019015,0,,,,,,,,,,,,,,,,,
75,国信证券002736.SZ,0.49392931,0.001446172,0.240438921,0.001446172,0.246964655,1.680985228,0.601058435,0.7589336,,,,,,,,,,,,,,,,,
76,永兴材料002756.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
77,恩捷股份002812.SZ,0.923914196,0,0.384956125,0,0.461957098,5.947629398,1.550045122,1.537040724,,,,,,,,,,,,,,,,,
78,凯莱英002821.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
79,视源股份002841.SZ,0.071909464,0,0.071909464,0,0.035954732,0.277350927,0.096962702,0,,,,,,,,,,,,,,,,,
80,深南电路002916.SZ,1.837905259,0.212040121,0.397867542,0.125513702,0.91895263,5.972618969,2.250479322,0.904719475,,,,,,,,,,,,,,,,,
81,德赛西威002920.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
82,鹏鼎控股002938.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
83,中国广核003816.SZ,4.769713706,0.033380859,2.132190857,0.033380859,2.384856853,20.3155971,6.53919454,0.649167851,,,,,,,,,,,,,,,,,
84,亿纬锂能300014.SZ,1.31084401,0.051784924,1.048247797,0.051784924,0.655422005,6.788688512,1.981190444,1.134977528,,,,,,,,,,,,,,,,,
85,爱尔眼科300015.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
86,同花顺300033.SZ,2.812040956,0.122510507,1.390267626,0.064564947,1.406020478,12.94593829,3.967626921,1.455930312,,,,,,,,,,,,,,,,,
87,东方财富300059.SZ,0.597699306,0,0.533502382,0,0.298849653,3.730596434,0.981873538,0.685889821,,,,,,,,,,,,,,,,,
88,智飞生物300122.SZ,1.217556663,0,0.623040811,0,0.608778332,5.962052383,1.754506097,0.696407346,,,,,,,,,,,,,,,,,
89,汇川技术300124.SZ,0.311105684,0,0.247775439,0,0.155552842,2.203456978,0.559050141,1.365594389,,,,,,,,,,,,,,,,,
90,沃森生物300142.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
91,欣旺达300207.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
92,北京君正300223.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
93,阳光电源300274.SZ,0.897941167,0.043492751,0.386386617,0.043492751,0.448970583,4.983343597,1.383001454,1.460483781,,,,,,,,,,,,,,,,,
94,晶盛机电300316.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
95,泰格医药300347.SZ,0.507130679,0.052407082,0.206842114,0.052407082,0.25356534,2.257301399,0.703558711,1.136803324,,,,,,,,,,,,,,,,,
96,三环集团300408.SZ,0.878736236,0.067332994,0.282748396,0.067332994,0.439368118,2.309112228,0.938279493,1.156974616,,,,,,,,,,,,,,,,,
97,芒果超媒300413.SZ,0.424015749,0,0.27106564,0,0.212007874,1.751432935,0.577268812,0.524202118,,,,,,,,,,,,,,,,,
98,蓝思科技300433.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
99,先导智能300450.SZ,1.537471655,0,0.481627534,0,0.768735827,7.630135452,2.231586885,1.369486088,,,,,,,,,,,,,,,,,
100,深信服300454.SZ,0.443369907,0.00059277,0.343092601,0.00059277,0.221684953,2.227215724,0.647785261,0.656196163,,,,,,,,,,,,,,,,,
101,中科创达300496.SZ,0.469691812,0.039424452,0.144901339,0.039424452,0.234845906,2.197230923,0.663758017,1.276139064,,,,,,,,,,,,,,,,,
102,温氏股份300498.SZ,3.249838202,1.140727061,1.458224746,0.655036574,1.624919101,11.70621795,3.957721171,1.377823893,,,,,,,,,,,,,,,,,
103,健帆生物300529.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
104,欧普康视300595.SZ,0.361079216,0,0.361079216,0,0.180539608,1.392663067,0.486879116,0,,,,,,,,,,,,,,,,,
105,康泰生物300601.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
106,亿联网络300628.SZ,1.720211731,0.062089805,0.590319351,0.062089805,0.860105866,7.395407682,2.366246459,1.239972256,,,,,,,,,,,,,,,,,
107,圣邦股份300661.SZ,1.408407105,0.081234684,0.652913937,0.081234684,0.704203552,4.955107603,1.760964633,0.923881522,,,,,,,,,,,,,,,,,
108,宁德时代300750.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
109,迈为股份300751.SZ,3.874342314,0.34788577,1.602721231,0.249495196,1.937171157,12.64445036,4.734237623,0.891699274,,,,,,,,,,,,,,,,,
110,康龙化成300759.SZ,1.064266238,0,0.436221632,0,0.532133119,4.922779409,1.497608015,0.986809425,,,,,,,,,,,,,,,,,
111,迈瑞医疗300760.SZ,1.618377683,0.168809201,0.451489618,0.06416225,0.809188841,7.424204382,2.24164262,1.438739334,,,,,,,,,,,,,,,,,
112,锦浪科技300763.SZ,1.15461912,0.243745416,0.764114876,0.243745416,0.57730956,5.224021048,1.620265405,1.182186851,,,,,,,,,,,,,,,,,
113,德方纳米300769.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0
114,卓胜微300782.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
115,爱美客300896.SZ,5.38645571,0.559968335,1.937349437,0.319258348,2.693227855,19.19625145,6.472501003,1.708793606,,,,,,,,,,,,,,,,,
116,中伟股份300919.SZ,0.677675605,0,0.308068457,0,0.338837802,3.323101474,0.977249604,1.609549269,大,,,,,,,,,,,,,,,,
117,金龙鱼300999.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
118,浦发银行600000.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
119,上海机场600009.SH,1.304256445,0.01599088,0.761933361,0.01599088,0.652128222,4.246572198,1.548138745,1.00774881,,,,,,,,,,,,,,,,,
120,包钢股份600010.SH,0.58194844,0.027854943,0.332170646,0.016746552,0.29097422,1.738374894,0.688610082,0.571195373,,,,,,,,,,,,,,,,,
121,华能国际600011.SH,1.37191879,0.067721622,1.37191879,0.037568634,0.685959395,4.320717416,1.671126462,0.340658424,,,,,,,,,,,,,,,,,
122,华夏银行600015.SH,1.035114325,0.077277402,0.71490989,0.077277402,0.517557162,4.243351528,1.392680062,0.761229815,,,,,,,,,,,,,,,,,
123,民生银行600016.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
124,上港集团600018.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
125,宝钢股份600019.SH,7.344175347,0.151300478,2.138642571,0.107546952,3.672087674,29.23761461,9.803582542,1.365585899,,,,,,,,,,,,,,,,,
126,华能水电600025.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
127,中国石化600028.SH,1.103433006,0,0.408379604,0,0.551716503,6.032238683,1.676340928,2.238858478,,,,,,,,,,,,,,,,,
128,南方航空600029.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
129,中信证券600030.SH,0.214989688,0,0.210878089,0,0.107494844,1.600260484,0.398883304,0.692957092,,,,,,,,,,,,,,,,,
130,三一重工600031.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
131,招商银行600036.SH,0.327642,0,0.208090332,0,0.163821,1.656264655,0.479674532,1.008990251,,,,,,,,,,,,,,,,,
132,四川路桥600039.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
133,保利发展600048.SH,3.014688503,0,1.239504692,0,1.507344251,18.06677625,4.839918739,1.3489474,,,,,,,,,,,,,,,,,
134,中国联通600050.SH,1.035114325,0.077277402,0.71490989,0.077277402,0.517557162,4.243351528,1.392680062,0.761229815,,,,,,,,,,,,,,,,,
135,国投资本600061.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
136,同仁堂600085.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
137,特变电工600089.SH,0.785196739,0.044804157,0.251750623,0.044804157,0.392598369,1.924810286,0.826987886,1.127898451,,,,,,,,,,,,,,,,,
138,上汽集团600104.SH,0.19456017,0,0.119804421,0,0.097280085,0.789102923,0.263889546,0.483323405,,,,,,,,,,,,,,,,,
139,北方稀土600111.SH,0.845972405,0,0.255141595,0,0.422986202,3.840175087,1.182278659,1.253691437,,,,,,,,,,,,,,,,,
140,中国东航600115.SH,1.58939762,0.085498168,0.83819027,0.085498168,0.79469881,10.49172002,2.7088703,1.407429109,,,,,,,,,,,,,,,,,
141,重庆啤酒600132.SH,0.754916066,0.042312924,0.276580089,0.042312924,0.377458033,2.643259742,0.917729408,1.664847119,,,,,,,,,,,,,,,,,
142,中国船舶600150.SH,2.010710671,0.132293285,0.977771684,0.132293285,1.005355335,8.461394198,2.748042989,0.969647888,,,,,,,,,,,,,,,,,
143,中国巨石600176.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
144,生益科技600183.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
145,兖矿能源600188.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
146,复星医药600196.SH,8.782825112,1.527703719,4.904740302,1.527703719,4.391412556,29.50339819,10.88028895,0.685353485,,,,,,,,,,,,,,,,,
147,南山铝业600219.SH,3.924188506,0.602155939,1.246655199,0.407454699,1.962094253,16.53319268,5.160167477,1.288743195,,,,,,,,,,,,,,,,,
148,圆通速递600233.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
149,恒瑞医药600276.SH,0.057260727,0,0.057260727,0,0.028630364,0.220851538,0.077210349,0,,,,,,,,,,,,,,,,,
150,万华化学600309.SH,1.544159208,0,0.697209832,0,0.772079604,8.382170446,2.337869352,1.311239167,,,,,,,,,,,,,,,,,
151,白云山600332.SH,0.837595941,0.061297399,0.277538439,0.061297399,0.41879797,1.575871469,0.765579631,1.54754709,,,,,,,,,,,,,,,,,
152,恒力石化600346.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
153,江西铜业600362.SH,1.579290576,0,0.42632451,0,0.789645288,6.925266994,2.17995813,1.04975595,,,,,,,,,,,,,,,,,
154,金地集团600383.SH,1.984700929,0,0.564535384,0,0.992350464,9.756250623,2.865745928,1.009205109,,,,,,,,,,,,,,,,,
155,国电南瑞600406.SH,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
156,华鲁恒升600426.SH,0.360269014,0.042815426,0.187132662,0.037254902,0.180134507,0.224970106,0.144253578,1.754977752,,,,,,,,,,,,,,,,,
157,片仔癀600436.SH,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
158,通威股份600438.SH,2.955564977,0,0.849086173,0,1.477782488,21.82780356,5.453398474,1.249810213,,,,,,,,,,,,,,,,,
159,士兰微600460.SH,3.434046147,0.65955011,1.335966895,0.270869181,1.717023074,11.47933435,4.128438302,1.311325882,,,,,,,,,,,,,,,,,
160,贵州茅台600519.SH,2.224455456,0.033754553,1.015521727,0.033754553,1.112227728,12.82530494,3.490844759,1.335331431,,,,,,,,,,,,,,,,,
161,山东黄金600547.SH,0.436739789,0,0.223722232,0,0.218369895,2.349256023,0.658089421,1.628841033,,,,,,,,,,,,,,,,,
162,恒生电子600570.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
163,长电科技600584.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
164,海螺水泥600585.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
165,用友网络600588.SH,0.09528682,0,0.09528682,0,0.04764341,0.367516127,0.128484722,0,,,,,,,,,,,,,,,,,
166,青岛啤酒600600.SH,0.93857555,0,0.562142565,0,0.469287775,6.010029693,1.56887373,1.243158665,,,,,,,,,,,,,,,,,
167,绿地控股600606.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
168,福耀玻璃600660.SH,0.72602742,0,0.273838763,0,0.36301371,4.215643714,1.143169639,1.368621837,,,,,,,,,,,,,,,,,
169,川投能源600674.SH,3.434046147,0.65955011,1.335966895,0.270869181,1.717023074,11.47933435,4.128438302,1.311325882,,,,,,,,,,,,,,,,,
170,海尔智家600690.SH,0.140704439,0,0.113977999,0,0.070352219,0.196656008,0.111473753,0.665397285,,,,,,,,,,,,,,,,,
171,华域汽车600741.SH,0.455568954,0,0.174277645,0,0.227784477,2.000079082,0.61930314,1.608154607,,,,,,,,,,,,,,,,,
172,闻泰科技600745.SH,1.061006032,0,0.376073822,0,0.530503016,2.80825995,1.13056271,1.481589255,,,,,,,,,,,,,,,,,
173,中航沈飞600760.SH,0.113186264,0,0.09625726,0,0.056593132,0.652473265,0.177345374,0.677600883,,,,,,,,,,,,,,,,,
174,通策医疗600763.SH,1.296862259,0,1.104178907,0,0.648431129,7.490430484,2.034630235,0.677843171,,,,,,,,,,,,,,,,,
175,国电电力600795.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
176,新奥股份600803.SH,2.028127086,0,0.654646297,0,1.014063543,10.77606145,2.95653096,2.063112775,,,,,,,,,,,,,,,,,
177,山西汾酒600809.SH,2.710343955,9997.20235,1.614798035,7497.917228,4998.601175,77097.91975,19060.96137,1.100310225,,,,,,,,,,,,,,,,,
178,海通证券600837.SH,0.640421626,0,0.209943177,0,0.320210813,2.97878589,0.903323433,0.986573117,,,,,,,,,,,,,,,,,
179,宝信软件600845.SH,1.441608334,0,0.46112027,0,0.720804167,5.968474156,1.963411151,1.067432507,,,,,,,,,,,,,,,,,
180,杉杉股份600884.SH,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
181,国投电力600886.SH,1.368272279,0.314362021,0.520290935,0.241058331,0.684136139,6.561148823,1.949256679,1.892703571,,,,,,,,,,,,,,,,,
182,伊利股份600887.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
183,航发动力600893.SH,0.800774668,0,0.358653626,0,0.400387334,4.11203011,1.179135288,1.55251208,,,,,,,,,,,,,,,,,
184,长江电力600900.SH,1.378737467,0.062740279,0.451979855,0.048527763,0.689368733,4.017069734,1.619924945,1.124374418,,,,,,,,,,,,,,,,,
185,中泰证券600918.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
186,江苏银行600919.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
187,杭州银行600926.SH,0.226436359,0.035206518,0.125019394,0.035206518,0.11321818,0.636227149,0.261349389,0.647703368,,,,,,,,,,,,,,,,,
188,东方证券600958.SH,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
189,宝丰能源600989.SH,0.522575675,0.023238534,0.308444063,0.023238534,0.261287837,3.984139973,0.987193767,1.372142121,,,,,,,,,,,,,,,,,
190,招商证券600999.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
191,大秦铁路601006.SH,0.725001976,0.114690133,0.479937562,0.114690133,0.362500988,5.062688432,1.288130161,1.045024002,,,,,,,,,,,,,,,,,
192,南京银行601009.SH,1.690102903,0,1.610793843,0,0.845051451,11.91567205,3.026737617,0.691934598,,,,,,,,,,,,,,,,,
193,隆基绿能601012.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
194,春秋航空601021.SH,2.928103192,0.159498078,1.421088557,0.105979932,1.464051596,10.98653025,3.716354075,1.405442215,,,,,,,,,,,,,,,,,
195,中信建投601066.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
196,中国神华601088.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
197,恒立液压601100.SH,1.172785847,0,0.772227144,0,0.586392923,4.527335738,1.548826149,0.551824677,,,,,,,,,,,,,,,,,
